,APPLICATION NO,GENDER,UACE YEAR,CODE,DISTRICT,COURSE CODE,COURSE NAME,TOTAL WEIGHT,WEIGHT RANGE,SCHOOL,REGION
27,23APF436324879132722,F,2022,9.0,HOIMA,ACC,BSC. Accounting (EVE),32.5,Good,ALBERT SSS HOIMA,Western
28,23APF1080023620127280,F,2022,18.0,KAMWENGE,ACC,BSC. Accounting (EVE),32.4,Good,ST. THOMAS AQUINAS COLLEGE  KAWEMPE,Western
29,23APF157015655125355,M,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),32.0,Good,NAMUGOONA PARENTS SCHOOL,Central
30,23APF141959743797295,M,2020,11.0,JINJA,ACC,BSC. Accounting (EVE),31.5,Good,LONDON COL. ST.LAWRENCE MAYA,Eastern
31,23APF751191108106210,F,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),31.4,Good,MENGO SECONDARY SCHOOL ANNEX,Central
32,23APF724414868141141,F,2022,77.0,BUDAKA,ACC,BSC. Accounting (EVE),31.3,Good,,Eastern
33,23APF1413319323135980,M,2022,88.0,BUTAMBALA,ACC,BSC. Accounting (EVE),31.2,Good,,Central
34,23APF593373474116716,M,2022,41.0,MUBENDE,ACC,BSC. Accounting (EVE),31.1,Good,"CENTRAL COLLEGE, MITYANA",Central
35,23APF75774350148691,M,2022,88.0,BUTAMBALA,ACC,BSC. Accounting (EVE),31.1,Good,KAWEMPE MUSLIM SS,Central
36,23APF238774767111982,M,2022,90.0,BUYENDE,ACC,BSC. Accounting (EVE),31.1,Good,JINJA PROGRESSIVE ANNEX,Eastern
37,23APF785739568144218,M,2022,18.0,KAMWENGE,ACC,BSC. Accounting (EVE),31.0,Good,MASINDI HALL,Western
38,23APF269087811114307,M,2022,33.0,MASAKA,ACC,BSC. Accounting (EVE),31.0,Good,,Central
39,23APF810803954100945,M,2009,9.0,HOIMA,ACC,BSC. Accounting (EVE),30.9,Good,MENGO SECONDARY SCHOOL,Western
40,23APF69842964149134,M,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),30.4,Good,NDEJJE SECONDARY SCHOOL,Central
41,23APF1094990594129842,M,2022,42.0,MUKONO,ACC,BSC. Accounting (EVE),30.4,Good,"ST JOSEPH'S SEMINARY, NYENGA",Central
42,23APF271115874132692,F,2022,10.0,IGANGA,ACC,BSC. Accounting (EVE),30.3,Good,JINJA PROGRESSIVE SS,Eastern
43,23APF74069275788805,M,2018,12.0,KABALE,ACC,BSC. Accounting (EVE),30.2,Good,MENGO SECONDARY SCHOOL,Western
44,23APF935474430128208,F,2022,32.0,LUWEERO,ACC,BSC. Accounting (EVE),30.2,Good,NAMUGOONA PARENTS SCHOOL,
45,23APF1496502224140063,M,2022,6.0,BUSHENYI,ACC,BSC. Accounting (EVE),30.1,Good,MBARARA HIGH SCHOOL,Western
46,23APF602826709105772,M,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),29.5,Average,UBUNTU HILL SCHOOL,Central
47,23APF566135453148449,F,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),29.5,Average,MUKONO HIGH SCHOOL,Central
48,23APF1518329823115184,F,2022,54.0,TORORO,ACC,BSC. Accounting (EVE),29.3,Average,TORORO GIRLS' SCHOOL,Eastern
49,23APF58408276899076,M,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),29.1,Average,ST.MARY'S SS KITENDE (ANNEX),Central
50,23APF1333211976140540,M,2022,54.0,TORORO,ACC,BSC. Accounting (EVE),29.1,Average,"WORLD AHEAD SS, MATUGGA",Eastern
51,23APF1407073158101701,M,2022,33.0,MASAKA,ACC,BSC. Accounting (EVE),29.0,Average,MERRYLAND  HIGH SCHOOL,Central
52,23APF282203962133811,M,2022,43.0,NEBBI,ACC,BSC. Accounting (EVE),28.9,Average,KITANTE HILL SCHOOL,Northern
53,23APF75346480105976,M,2020,7.0,BUSIA,ACC,BSC. Accounting (EVE),28.9,Average,"ST.JOSEPH'S COLLEGE,NAMAGUNGA",Eastern
54,23APF719813020124437,M,2022,11.0,JINJA,ACC,BSC. Accounting (EVE),28.7,Average,"KIRINYA C/U SECONDARY SCHOOL, KIREKA",Eastern
55,23APF825010272123233,F,2022,10.0,IGANGA,ACC,BSC. Accounting (EVE),28.6,Average,NABISUNSA GIRLS' SCHOOL,Eastern
56,23APF552743649122431,F,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),28.5,Average,"ST. ELIZABETH GIRLS SECONDARY SCHOOL, MITYANA",Central
57,23APF58126007075090,M,2019,51.0,SEMBABULE,ACC,BSC. Accounting (EVE),28.3,Average,LUZIRA LAKESIDE COLLEGE,Central
58,23APF1402179810115116,F,2022,17.0,KAMULI,ACC,BSC. Accounting (EVE),28.2,Average,"ST.PETER'S S S, NSAMBYA",Eastern
59,23APF1351691384133273,M,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),28.1,Average,MENGO SECONDARY SCHOOL,Central
60,23APF373410249117026,M,2022,49.0,RAKAI,ACC,BSC. Accounting (EVE),28.1,Average,"ST. BERNARD'S SS, MANNYA",Central
61,23APF978857912132084,M,2022,112.0,SHEEMA,ACC,BSC. Accounting (EVE),28.1,Average,,Western
62,23APF1509838300144503,M,2020,16.0,KAMPALA,ACC,BSC. Accounting (EVE),28.1,Average,,Central
63,23APF1500318954129626,M,2022,61.0,BUKWO,ACC,BSC. Accounting (EVE),28.1,Average,"ST MARY'S COLLEGE, KISUBI",
64,23APF1581937249150780,M,2015,13.0,KABAROLE,ACC,BSC. Accounting (EVE),27.8,Average,"CRESTED SEC. SCHOOL, KAMPALA",Western
65,23APF1261486090108013,M,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),27.6,Average,ST.BALIKUDEMBE S.S.S. KISOGA,Central
66,23APF479096769133045,F,2022,19.0,KANUNGU,ACC,BSC. Accounting (EVE),27.5,Average,ST. DENIS SEBUGWAWO SS GABA,Western
67,23APF55012883127593,F,2022,34.0,MASINDI,ACC,BSC. Accounting (EVE),27.3,Average,MUKONO HIGH SCHOOL,Western
68,23APF925469555107689,M,2022,75.0,MITYANA,ACC,BSC. Accounting (EVE),27.2,Average,"SEETA H/S GREEN CAMPUS, MUKONO",Central
69,23APF1096616393128836,M,2016,32.0,LUWEERO,ACC,BSC. Accounting (EVE),27.2,Average,LUZIRA LAKESIDE COLLEGE,
70,23APF231277757116755,M,2008,31.0,LIRA,ACC,BSC. Accounting (EVE),27.1,Average,"DR. OBOTE COLLEGE, BOROBORO",Northern
71,23APF1080152775132158,M,2022,97.0,KYANKWANZI,ACC,BSC. Accounting (EVE),27.1,Average,"EXODUS COLLEGE SCHOOL, MMENDE",
72,23APF1373816758136454,M,2022,85.0,BUIKWE,ACC,BSC. Accounting (EVE),27.0,Average,MEHTA SECONDARY SCHOOL,Central
73,23APF1274188460118313,M,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),27.0,Average,ST.BALIKUDEMBE S.S.S. KISOGA,Central
74,23APF574552076126309,M,2019,33.0,MASAKA,ACC,BSC. Accounting (EVE),26.7,Average,"ST HENRY'S COLLEGE, KITOVU",Central
75,23APF1293267556107288,M,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),26.5,Average,MWERERWE SEC. SCHOOL,Central
76,23APF366654531126957,F,2022,103.0,MITOOMA,ACC,BSC. Accounting (EVE),26.5,Average,BUBANGIZI S S,Western
77,23APF1351451625137124,F,2022,112.0,SHEEMA,ACC,BSC. Accounting (EVE),26.5,Average,"ST.PETER'S SS, NAALYA",Western
78,23APF460759832121981,F,2022,65.0,IBANDA,ACC,BSC. Accounting (EVE),26.1,Average,"ST. ANTHONY SS, NKOKONJERU",Western
79,23APF794489147102079,M,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),26.1,Average,"ST.FRANCIS SS, BUSUNJU",Central
80,23APF497917262150425,M,2022,7.0,BUSIA,ACC,BSC. Accounting (EVE),26.0,Average,HILTON HIGH SCHOOL,Eastern
81,23APF1508269392116172,F,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),25.9,Average,"ST.MARY'S COLLEGE, LUGAZI",Central
82,23APF1531202301147650,M,2019,36.0,MBALE,ACC,BSC. Accounting (EVE),25.9,Average,"ROCK HIGH SCHOOL, TORORO",Eastern
83,23APF1291262026142154,F,2022,54.0,TORORO,ACC,BSC. Accounting (EVE),25.9,Average,NAMIREMBE HILLSIDE S.S.,Eastern
84,23APF1309891076114404,M,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),25.8,Average,ST.BALIKUDEMBE S.S.S. KISOGA,Central
85,23APF1377318160106536,F,2022,36.0,MBALE,ACC,BSC. Accounting (EVE),25.8,Average,MARYHILL HIGH SCHOOL,Eastern
86,23APF1343191663113795,M,2022,39.0,MOYO,ACC,BSC. Accounting (EVE),25.8,Average,,Northern
87,23APF441231522127288,F,2020,55.0,WAKISO,ACC,BSC. Accounting (EVE),25.7,Average,BWEYOGERERE SS,Central
88,23APF927267642140580,M,2018,79.0,NAMUTUMBA,ACC,BSC. Accounting (EVE),25.0,Average,"KISIKI COLLEGE, NAMUTUMBA",Eastern
89,23APF1502921010146109,M,2022,10.0,IGANGA,ACC,BSC. Accounting (EVE),25.0,Average,IGANGA TOWN VIEW SENIOR SECONDARY SCHOOL,Eastern
90,23APF1105142186137323,M,2022,37.0,MBARARA,ACC,BSC. Accounting (EVE),24.9,Average,VINE HIGH SCHOOL,Western
91,23APF278294434146955,M,2022,65.0,IBANDA,ACC,BSC. Accounting (EVE),24.9,Average,"MASAKA SECONDARY SCHOOL, ANNEX",Western
92,23APF453800840133315,M,2022,71.0,KALIRO,ACC,BSC. Accounting (EVE),24.8,Average,,Eastern
93,23APF1196465467130028,F,2022,101.0,LWENGO,ACC,BSC. Accounting (EVE),24.6,Average,"MADINAH ISLAMIC SS, NSANGI",Central
94,23APF1631502923121852,F,2022,48.0,PALLISA,ACC,BSC. Accounting (EVE),24.5,Average,,Eastern
95,23APF496355015132028,F,2022,42.0,MUKONO,ACC,BSC. Accounting (EVE),24.4,Average,PROGRESSIVE KITINTALE S.S.,Central
96,23APF270782602124589,F,2022,33.0,MASAKA,ACC,BSC. Accounting (EVE),24.4,Average,"ST.PETER'S SS, NAALYA",Central
97,23APF1504876868104759,M,2022,75.0,MITYANA,ACC,BSC. Accounting (EVE),24.4,Average,"ST HENRY'S COLLEGE, KITOVU",Central
98,23APF484164474105512,F,2022,112.0,SHEEMA,ACC,BSC. Accounting (EVE),24.1,Average,OUR LADY OF GOOD COUNSEL,Western
99,23APF579718211128744,M,2022,37.0,MBARARA,ACC,BSC. Accounting (EVE),24.1,Average,BISHOP MCALLISTER COL. KYOGERA,Western
100,23APF75247735991940,M,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),23.9,Average,KISUBI SEMINARY,Central
101,23APF143709225897539,M,2016,55.0,WAKISO,ACC,BSC. Accounting (EVE),23.8,Average,KINAAWA HIGH SCHOOL,Central
102,23APF320255894139001,M,2022,77.0,BUDAKA,ACC,BSC. Accounting (EVE),23.8,Average,"ST. EDWARDS'S COLLEGE, GALAMBA",Eastern
103,23APF1077745751148134,F,2017,98.0,KYEGEGWA,ACC,BSC. Accounting (EVE),23.5,Average,"KENNEDY SS, KAMPALA",
104,23APF767357830115638,F,2022,38.0,MOROTO,ACC,BSC. Accounting (EVE),23.3,Average,"HOLY CROSS LAKE VIEW SEC. SCHOOL, JINJA",Northern
105,23APF24932728132296,M,2022,117.0,RUBANDA,ACC,BSC. Accounting (EVE),23.2,Average,,
106,23APF26079997145825,M,2022,53.0,SOROTI,ACC,BSC. Accounting (EVE),23.0,Average,"BISHOP'S SEC. SCHOOL, MUKONO",Eastern
107,23APF1582280706109855,F,2022,21.0,KASESE,ACC,BSC. Accounting (EVE),22.9,Average,,Western
108,23APF647566533106396,F,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),22.8,Average,,Central
109,23APF1620189273133509,M,2022,54.0,TORORO,ACC,BSC. Accounting (EVE),22.7,Average,"KAKUNGULU MEM. SCH., KAMPALA",Eastern
110,23APF474578627111475,F,2013,26.0,KISORO,ACC,BSC. Accounting (EVE),22.6,Average,BUREMBA S S,Western
111,23APF158437003116673,F,2022,37.0,MBARARA,ACC,BSC. Accounting (EVE),22.4,Average,ST. BRIDGET GIRLS' HIGH SCHOOL,Western
112,23APF782881408107745,M,2022,93.0,KIBUKU,ACC,BSC. Accounting (EVE),22.4,Average,OURLADY OF AFRICA SS NAMILYANGO,Eastern
113,23APF1539472350126902,F,2022,54.0,TORORO,ACC,BSC. Accounting (EVE),22.3,Average,"ST. KIZITO SS,  BUGOLOBI",Eastern
114,23APF299562093138895,F,2022,21.0,KASESE,ACC,BSC. Accounting (EVE),22.2,Average,KICHWAMBA HIGH SCHOOL,Western
115,23APF1580594026128990,M,2022,54.0,TORORO,ACC,BSC. Accounting (EVE),22.2,Average,"ST.PETER'S COLLEGE, TORORO",Eastern
116,23APF1513761332147583,F,2013,23.0,KAYUNGA,ACC,BSC. Accounting (EVE),21.7,Average,KANJUKI S S,Central
117,23APF249657834133053,F,2022,123.0,RUKIGA,ACC,BSC. Accounting (EVE),21.6,Average,"ST.MARY'S COLLEGE, RUSHOROZA",
118,23APF797550626121961,M,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),21.6,Average,MBOGO COLLEGE SCHOOL,Central
119,23APF269938826131929,F,2022,33.0,MASAKA,ACC,BSC. Accounting (EVE),21.1,Average,KASUBI S.S.,Central
120,23APF1559640252139494,F,2022,93.0,KIBUKU,ACC,BSC. Accounting (EVE),21.0,Average,MUKONO PARENTS HIGH SCHOOL,Eastern
121,23APF335456804107701,M,2022,9.0,HOIMA,ACC,BSC. Accounting (EVE),20.8,Average,KOLOLO SECONDARY SCHOOL,Western
122,23APF891124187126585,M,2022,21.0,KASESE,ACC,BSC. Accounting (EVE),20.8,Average,,Western
123,23APF1613098366123095,F,2022,46.0,NTUNGAMO,ACC,BSC. Accounting (EVE),20.4,Average,KAGAMBA SECONDARY SCHOOL,Western
124,23APF1036534760127199,F,2022,54.0,TORORO,ACC,BSC. Accounting (EVE),20.2,Average,"BISHOP'S SEC. SCHOOL, MUKONO",Eastern
125,23APF888325709106143,F,2022,8.0,GULU,ACC,BSC. Accounting (EVE),20.1,Average,ST. JULIAN HIGH SCHOOL,Northern
126,23APF1066438239127762,M,2018,103.0,MITOOMA,ACC,BSC. Accounting (EVE),20.0,Low,ST.KAGGWA BUSHENYI HIGH SCH.,Western
127,23APF6816076136686,M,2022,10.0,IGANGA,ACC,BSC. Accounting (EVE),19.9,Low,IGANGA PROGRESSIVE SEC.SCHOOL,Eastern
128,23APF1403884469121643,M,2022,91.0,GOMBA,ACC,BSC. Accounting (EVE),19.9,Low,JANAN S.S,Central
129,23APF425119867136750,F,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),19.8,Low,MAKERERE SECONDARY SCHOOL,Central
130,23APF558061754107885,M,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),19.7,Low,EBENEZER SECONDARY SCHOOL,Central
131,23APF1605052142115627,F,2022,33.0,MASAKA,ACC,BSC. Accounting (EVE),19.6,Low,"MADINAH ISLAMIC SS, NSANGI",Central
132,23APF776972693110506,F,2022,32.0,LUWEERO,ACC,BSC. Accounting (EVE),19.6,Low,LUIGI GIUSSANI  HS,
133,23APF511517592135571,M,2022,42.0,MUKONO,ACC,BSC. Accounting (EVE),19.5,Low,KYADONDO SS,Central
134,23APF1452521398108327,F,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),19.4,Low,KAWEMPE MUSLIM SS,Central
135,23APF650092514121334,F,2022,112.0,SHEEMA,ACC,BSC. Accounting (EVE),19.3,Low,KYEIZOBA  GIRLS' SEC. SCHOOL,Western
136,23APF508687482113254,M,2022,55.0,WAKISO,ACC,BSC. Accounting (EVE),18.8,Low,,Central
137,23APF1005703083148040,M,2011,67.0,BUKEDEA,ACC,BSC. Accounting (EVE),18.6,Low,LUZIRA S.S.S.,Eastern
138,23APF1429382834118159,F,2022,31.0,LIRA,ACC,BSC. Accounting (EVE),18.5,Low,"TRINITY COLLEGE, NABBINGO",Northern
139,23APF97549757141585,M,2022,9.0,HOIMA,ACC,BSC. Accounting (EVE),18.1,Low,ST. PETER'S HS  HOIMA,Western
140,23APF849449500104973,M,2022,53.0,SOROTI,ACC,BSC. Accounting (EVE),17.9,Low,ST. ANDREW KAGGWA GOMBE H/S  KAWAALA,Eastern
141,23APF1055623857109788,M,2022,46.0,NTUNGAMO,ACC,BSC. Accounting (EVE),17.9,Low,"ST.PETER'S S S, NSAMBYA",Western
142,23APF1360301147129438,M,2022,9.0,HOIMA,ACC,BSC. Accounting (EVE),17.8,Low,BULOBA HIGH SCHOOL,Western
143,23APF680243081135845,F,2022,1.0,ADJUMANI,ACC,BSC. Accounting (EVE),17.2,Low,"ST. KIZITO SS,  BUGOLOBI",Northern
144,23APF356477895129095,M,2022,16.0,KAMPALA,ACC,BSC. Accounting (EVE),16.7,Low,BUDDO SEC. SCHOOL,Central
145,23APF616237061140867,F,2022,53.0,SOROTI,ACC,BSC. Accounting (EVE),16.1,Low,"ST CHARLES LWANGA SS, BUKERERE",Eastern
146,23APF1373331951130054,F,2022,4.0,BUGIRI,ACC,BSC. Accounting (EVE),16.0,Low,"HOLY CROSS LAKE VIEW SEC. SCHOOL, JINJA",Eastern
147,23APF401118859139885,M,2022,95.0,KOLE,ACC,BSC. Accounting (EVE),15.7,Low,"ST. KIZITO SS,  BUGOLOBI",Northern
148,23APF161477980127627,F,2022,55.0,WAKISO,ADJ,B.Business Administration(Jinja),47.2,Very Good,KAJJANSI PROGRESSIVE S.S,Central
149,23APF1204513446146356,F,2022,65.0,IBANDA,ADJ,B.Business Administration(Jinja),46.0,Very Good,NAALYA SSS,Western
150,23APF688643910133612,M,2022,25.0,KIBOGA,ADJ,B.Business Administration(Jinja),41.4,Very Good,ST MARY'S SS  KITENDE,Central
151,23APF1168138599150703,F,2022,33.0,MASAKA,ADJ,B.Business Administration(Jinja),39.8,Good,BUDDO SEC. SCHOOL,Central
152,23APF538553468129033,M,2022,37.0,MBARARA,ADJ,B.Business Administration(Jinja),38.0,Good,"SEETA H/S GREEN CAMPUS, MUKONO",Western
153,23APF1387513733128240,F,2022,11.0,JINJA,ADJ,B.Business Administration(Jinja),37.2,Good,"STELLA MARIS COLLEGE, NSUBE",Eastern
154,23APF393781415140581,F,2022,71.0,KALIRO,ADJ,B.Business Administration(Jinja),36.4,Good,,Eastern
155,23APF820437047128631,F,2022,36.0,MBALE,ADJ,B.Business Administration(Jinja),33.7,Good,"ST.JOSEPH'S GIRLS, NSAMBYA",Eastern
156,23APF136766128119962,F,2022,65.0,IBANDA,ADJ,B.Business Administration(Jinja),32.3,Good,ALLIANCE SECONDARY SCHOOL,Western
157,23APF1544975580127743,F,2022,69.0,ISINGIRO,ADJ,B.Business Administration(Jinja),32.1,Good,BONI  CONSILLIGIRLS,Western
158,23APF1206627349124279,F,2022,11.0,JINJA,ADJ,B.Business Administration(Jinja),30.5,Good,"ST.MARY'S COLLEGE, LUGAZI",Eastern
159,23APF4261208129363,F,2022,55.0,WAKISO,ADJ,B.Business Administration(Jinja),28.0,Average,PAUL MUKASA SS,Central
160,23APF254085235124676,M,2022,85.0,BUIKWE,ADJ,B.Business Administration(Jinja),27.6,Average,MEHTA SECONDARY SCHOOL,Central
161,23APF697701665130071,F,2022,63.0,BUTALEJA,ADJ,B.Business Administration(Jinja),26.8,Average,NAMUGOONA PARENTS SCHOOL,
162,23APF922981863101497,M,2022,32.0,LUWEERO,ADJ,B.Business Administration(Jinja),25.8,Average,,
163,23APF1316852623122726,F,2022,4.0,BUGIRI,ADJ,B.Business Administration(Jinja),25.4,Average,KIBULI SECONDARY SCHOOL,Eastern
164,23APF390455197138190,M,2022,35.0,MAYUGE,ADJ,B.Business Administration(Jinja),25.4,Average,,Eastern
165,23APF1361196496150982,M,2022,12.0,KABALE,ADJ,B.Business Administration(Jinja),25.3,Average,ST.MICHAEL HIGH SCHOOL,Western
166,23APF484382023131628,M,2022,42.0,MUKONO,ADJ,B.Business Administration(Jinja),24.9,Average,ST.MARY'S SS  NKOZI,Central
167,23APF1305549615137050,F,2022,14.0,KABERAMAIDO,ADJ,B.Business Administration(Jinja),24.2,Average,"ST. KIZITO SS,  BUGOLOBI",Eastern
168,23APF299348227147648,F,2022,79.0,NAMUTUMBA,ADJ,B.Business Administration(Jinja),24.1,Average,MUNTA ROYAL COLLEGE,Eastern
169,23APF165092157141590,F,2022,55.0,WAKISO,ADJ,B.Business Administration(Jinja),23.5,Average,,Central
170,23APF580252528127296,F,2022,48.0,PALLISA,ADJ,B.Business Administration(Jinja),23.1,Average,PALLISA HIGH SCHOOL,Eastern
171,23APF920791168120817,F,2022,55.0,WAKISO,ADJ,B.Business Administration(Jinja),21.8,Average,KITEBI S.S,Central
172,23APF954940882126503,M,2022,7.0,BUSIA,ADJ,B.Business Administration(Jinja),21.7,Average,"ROYAL COLLEGE, MAKINDYE",Eastern
173,23APF1566335730133854,M,2022,6.0,BUSHENYI,ADJ,B.Business Administration(Jinja),21.7,Average,"ST.JOSEPH'S VOC. SCH., MBARARA",Western
174,23APF1517157216134028,F,2022,11.0,JINJA,ADJ,B.Business Administration(Jinja),21.4,Average,"ST. ANDREW'S COLLEGE, SSANDA",Eastern
175,23APF895393682110319,F,2022,19.0,KANUNGU,ADJ,B.Business Administration(Jinja),19.4,Low,"ST.MARY'S COLLEGE, RUSHOROZA",Western
176,23APF1311979288143124,M,2022,11.0,JINJA,ADJ,B.Business Administration(Jinja),17.8,Low,JINJA  SECONDARY SCHOOL,Eastern
177,23APF164761059146486,M,2022,58.0,ABIM,ADJ,B.Business Administration(Jinja),14.3,Low,ABIM SEC. SCHOOL,Northern
178,23APF1151679609140229,M,2022,50.0,RUKUNGIRI,ADM,Bachelor of Business Administration,50.4,Exceptional,"SEETA H/S GREEN CAMPUS, MUKONO",Western
179,23APF364716610133620,F,2022,51.0,SEMBABULE,ADM,Bachelor of Business Administration,50.1,Exceptional,BULOBA ROYAL COLLEGE,Central
180,23APF578322034125667,F,2022,55.0,WAKISO,ADM,Bachelor of Business Administration,47.7,Very Good,"TRINITY COLLEGE, NABBINGO",Central
181,23APF1473406434111376,F,2022,55.0,WAKISO,ADM,Bachelor of Business Administration,47.6,Very Good,GAYAZA HIGH SCHOOL,Central
182,23APF755418932138919,F,2022,11.0,JINJA,ADM,Bachelor of Business Administration,47.5,Very Good,"ST.NOA MAWAGALI SS, JINJA",Eastern
183,23APF257886745142336,M,2022,86.0,BUKOMANSIMBI,ADM,Bachelor of Business Administration,46.7,Very Good,NAMIRYANGO SS,Central
184,23APF1187018402140623,F,2022,55.0,WAKISO,ADM,Bachelor of Business Administration,46.4,Very Good,KITANTE HILL SCHOOL,Central
185,23APF1560811000107227,F,2022,33.0,MASAKA,ADM,Bachelor of Business Administration,46.3,Very Good,BULOBA ROYAL COLLEGE,Central
186,23APF535462915141443,M,2022,9.0,HOIMA,ADM,Bachelor of Business Administration,46.2,Very Good,"MANDELA S S, HOIMA",Western
187,23APF1225907572112277,F,2022,13.0,KABAROLE,ADM,Bachelor of Business Administration,45.8,Very Good,"ST.JOSEPH'S S S, NAGGALAMA",Western
188,23APF1298287659100127,F,2022,120.0,KYOTERA,ADM,Bachelor of Business Administration,45.7,Very Good,NABISUNSA GIRLS' SCHOOL,
189,23APF610537061139370,M,2022,114.0,AGAGO,ADM,Bachelor of Business Administration,45.6,Very Good,ST MARY'S SS  KITENDE,Northern
190,23APF922973038147370,F,2022,12.0,KABALE,ADM,Bachelor of Business Administration,45.4,Very Good,ST.PAUL'S S S  BUKINDA,Western
