U0001,AGA KHAN HIGH SCHOOL
U0356,RYAKASINGA CENTRE FOR H.EDUC.
U0357,"ST.GERTRUDE'S VOC GIRLS,KISORO"
U0366,KYAMATE SECONDARY SCHOOL
U0367,KAGAMBA SECONDARY SCHOOL
U0372,BURANGA SECONDARY SCHOOL
U0376,KIHIHI HIGH SCHOOL
U0379,ST.THEREZA S.S. OKUNGURO
U0385,BUBULO SECONDARY SCHOOL
U0387,"ST.PETER'S S S, NSAMBYA"
U0388,"ST.MAURICE S S, LWAGGULWE"
U0391,"ST.JOSEPH'S S S, NAGGALAMA"
U0396,BUDIOPE SECONDARY SCHOOL
U0397,NYABUBARE SECONDARY SCHOOL
U0399,RWEIBAARE SECONDARY SCHOOL
U0403,KASHENYI SECONDARY SCHOOL
U0407,NSANGI SECONDARY SCHOOL
U0409,KASENYI SECONDARY SCHOOL
U0415,KIGATA HIGH SCHOOL
U0416,ST.MATIA MULUMBA SEC. SCHOOL
U0417,LUZIRA S.S.S.
U0418,KALINABIRI SEC. SCHOOL
U0426,NYAKITOKE SEC. SCHOOL
U0436,BWERA S. S.
U0437,KABAALE SANJE S.S.
U0438,KIJJABWEMI  S . S.
U0441,SAM IGA MEM. COL. KAMPALA
U0443,KAMENGO S. S.
U0447,NYABANNI SEC SCHOOL
U0450,BWONGYERA GIRLS' SEC. SCHOOL
U0453,EDIOFE GIRLS' S.S
U0455,AMANANG SEC. SCHOOL
U0456,CHEMWANIA HIGH SCHOOL
U0458,KITEBI S.S
U0459,KAWEMPE MUSLIM SS
U0463,"ST.JOHN'S S.S, NYABWINA"
U0465,NYAKAYOJO SEC. SCHOOL
U0467,ICEME GIRLS SEC. SCHOOL
U0472,ST CECILIA GIRLS S.S.
U0474,"ST.GERALDS' S.S, NYAKIBALE"
U0482,KASHENSHERO GIRLS' S S
U0485,BUTSIBO S S
U0486,"KIZIRANFUMBI SEC. SCH., HOIMA"
U0489,BWIKYA SEC. SCHOOL
U0490,BILAL ISLAMIC INSTITUTE
U0491,"KIGULU COLLEGE, IGANGA"
U0492,ST. DENIS SEBUGWAWO SS GABA
U0493,KYAMAKANDA SEC. SCHOOL
U0494,KINYANSANO GIRLS' HIGH SCHOOL
U0495,KARAMBI S S
U0497,BUDUDA S S
U0500,MBULIRE SEC. SCHOOL
U0501,NAKANYONYI S S
U0502,RUHANGA ADVENTIST SEC. SCHOOL
U0503,NYAMITANGA S S
U0505,KITENDE S S
U0506,"MPENJA SEC. SCHOOL, MPIGI"
U0507,KALANGAALO SEC. SCHOOL
U0512,NAMAGABI S S
U0513,KANJUKI S S
U0515,"ST CHARLES LWANGA SS, BUKERERE"
U0517,NYAKINONI S S
U0518,KATURIKA S S
U0522,WAKATAYI S S
U0524,"BISHOP COMBONI COL., KAMBUGA"
U0525,ST.PAUL'S S S  BUKINDA
U0527,ISHAKA ADVENTIST COLLEGE
U0528,"KIRA S S, NAMUGONGO"
U0532,ENTEBBE HALL
U0535,"ST PETER'S SS, KATUKURU"
U0538,"SAN GIOVANNI SCH., KARUHINDA"
U0539,BISHOP MCALLISTER COL. KYOGERA
U0540,SACRED HEART SEM. MUBENDE
U0542,APOSTLES OF JESUS SEM. MOROTO
U0544,KASESE SEC. SCHOOL
U0546,KAARO HIGH SCHOOL
U0550,ST.PETER'S NKOKONJERU S S
U0557,TUNYI S S
U0559,ST. PETER'S S.S. NYARUSHANJE
U0564,BUBANGIZI S S
U0565,KYEIBARE GIRLS S S
U0567,MURIISA SEC. SCHOOL
U0572,ABIM SEC. SCHOOL
U0580,38.1
U0582,BUREMBA S S
U0584,KASHAKA GIRLS SS
U0593,KADDUGALA S S
U0595,NAMISINDWA S S
U0596,NABOA S S
U0599,MATALE CHURCH OF UGANDA S.S.S
U0602,"ST. JEROME S S, RUKUNGIRI"
U0604,LWERU S S
U0613,MULAGI GIRLS S S
U0614,KYANGYENYI S S
U0616,ST.MARY'S SS  NKOZI
U0624,"ST.ANDREW'S SS, RUBINDI"
U0625,ST.PETER'S S.S. BWERA
U0626,BLESSED SACREMENT SS  KIMAANYA
U0630,MBOGO HIGH SCHOOL
U0632,"ST.ALOYSIOUS KITANGA SS,KABALE"
U0639,"ST.CHARLES LWANGA HS,KASHEKURO"
U0643,"SACRED HEART SS, MUSHANGA"
U0645,MUKONO HIGH SCHOOL
U0648,"ERIMU COLLEGE SCHOOL, SOROTI"
U0649,"BP. DUNSTAN NSUBUGA, KALANGALA"
U0650,ST. KIZITO KATIKAMU KISULE SS
U0653,"ST. ALOYSIUS SS, NABBINGO"
U0654,KAMPALA HIGH SCHOOL
U0659,ST. PONTIANO NGONDWE SS.
U0660,KIJAGUZO SEC. SCHOOL
U0667,"BISHOP OGEZ H. SCHOOL, ISHAKA"
U0669,"ST. BRUNO SSERUNKUMA'S SS,GOLI"
U0670,BURYANSUNGWE S S
U0674,BUSAANA SEC. SCHOOL
U0676,NYONDO S S
U0679,SSEKE SENIOR SEC. SCHOOL
U0681,"ST. ANTHONY SS, NKOKONJERU"
U0682,BUSWALE SEC. SCHOOL
U0685,MITYANA MODERN SS
U0691,BULOBA HIGH SCHOOL
U0696,KIBINGO GIRLS SEC. SCHOOL
U0697,LUKALU SEC. SCHOOL
U0698,NAGGALAMA ISLAMIC INSTITUTE
U0699,"ST. CHARLES LWANGA SS,MUBENDE"
U0701,KANONI SS
U0704,"ST. JOHN'S SEC. SCH, MUDUUMA"
U0705,MUKONO TOWN ACADEMY
U0708,"ST. KIRIGWAJJO SS, KARUGUUZA"
U0713,"BUTAWUKA MAGEZI NTAKE SS,MPIGI"
U0714,"MARIAM HIGH SCHOOL, KAMPALA"
U0716,ENTEBBE PARENTS SS
U0717,"BISHOP NKOYOYO SS, MATALE"
U0719,"AISHA GIRLS HIGH SCH., MBARARA"
U0722,"EAGLE'S NEST SS, KAMPALA"
U0725,"ST. MARY'S SS, NAMALIGA"
U0726,"ST. LAWRENCE HIGH SCH., LUBAGA"
U0728,BUKANDULA SS.
U0729,CORNERSTONE LEADERSHIP ACADEMY
U0730,NAMAKWA S S
U0731,LUYANZI COLLEGE BWEYOGERERE
U0735,"BP. SISTO MAZZOLDI SS, LWEZA"
U0737,BULO PARENTS S S
U0739,"HOLY CROSS LAKE VIEW SEC. SCHOOL, JINJA"
U0742,"KAKUNGULU MEM. SCH., KAMPALA"
U0743,KISINGA VOCATIONAL SCHOOL
U0746,SSAKU SEC. SCHOOL
U0750,"ST. PIUS SS, NYAMWEGABIRA"
U0751,BUZIIGA ISLAMIC THEOLOG.INST.
U0752,"ST.NOA MAWAGALI SS, JINJA"
U0753,"ST.JOHN SS, WAIKITAKA"
U0754,UGANDA MARTYRS CENTENARY SS
U0755,"ST.MARY'S GIRLS SS, MADERA"
U0756,ST.JOSEPH'S KIGANDO SS
U0757,"ST.FRANCIS SS, BUSUNJU"
U0760,MASINDI HALL
U0761,"ST.ANDREW KAGGWA SS, KASAALA"
U0763,BUDDO SEC. SCHOOL
U0767,KASAMBYA PARENTS SCHOOL
U0773,KIRYASSAAKA SEC. SCHOOL
U0780,BWEYOGERERE SS
U0781,"ST.AUGUSTINE COL., WAKISO"
U0782,"OUR LADY CONSOLATA SS, KIREKA"
U0784,SAYIDINA ABUBAKAR SS
U0785,NYENDO MIXED SEC. SCHOOL
U0786,KABUNGO SEC. SCHOOL
U0794,"GREENHILL ACADEMY, KAMPALA"
U0796,"ST.MARKS SEC.SCHOOL, KAMMENGO"
U0798,"LIGHT SEC AND VOC SCH, BULENGA"
U0799,NDEJJE DAY VACATIONAL SS
U0801,"NAALYA SEC. SCHOOL ,KAMPALA"
U0802,MAKINDYE SECONDARY SCHOOL
U0803,NOAH'S ARK SEC. SCHOOL KAMPALA
U0804,TORORO PROGRESSIVE SEC. SCHOOL
U0806,ST.LAWRENCE CITIZENS HIGH SCHOOL CREAMLAND CAMPUS
U0807,KAMPALA STUDENTS' CENTRE
U0810,NAKIGO SECONDARY SCHOOL
U0812,IGANGA PROGRESSIVE SEC.SCHOOL
U0814,"ST.JOHN'S SEC.SCHOOL,NTEBETEBE"
U0816,MPOMA SCHOOL
U0818,"UGANDA MARTYRS SS, KAYUNGA"
U0825,"KAKUNGULU HIGH SCHOOL, BOMBO"
U0828,"ST.MARY'S VOC SCH, KYAMUHUNGA"
U0831,NAKASEKE SECONDARY SCHOOL
U0833,"STANDARD HIGH SCHOOL, KAMPALA"
U0834,"GREENLIGHT HIGH SCH., KAMPALA"
U0835,"ST. KIZITO SEC.SCH., KABOWA"
U0839,"ALLIANCE HIGH SCHOOL, NANSANA"
U0840,"ST.PIUS SS, KIZIBA"
U0844,"MULUSA ACADEMY, LUWERO"
U0848,"CRESTED SEC. SCHOOL, KAMPALA"
U0849,"EMMANUEL COLLEGE, KAZO-KAMPALA"
U0850,KIREKA HIGH SCHOOL
U0852,ST.BALIKUDEMBE S.S.S. KISOGA
U0855,"ST. JOSEPH'S CENT. SS, NDEEBA"
U0856,ST.ELIZABETH SEC.SCH. NKOOWE
U0857,KAJJANSI PROGRESSIVE S.S
U0858,ST.NOA'S GIRLS SEC.SCH.
U0859,"CENTRAL COLLEGE, MITYANA"
U0860,KINAAWA HIGH SCHOOL
U0861,MUGWANYA SUMMIT COLLEGE
U0864,KAPCHORWA SEC. SCHOOL
U0870,NAKWAYA SEC. SCHOOL
U0871,APAC SEC. SCHOOL
U0878,MBARARA MODERN SEC. SCHOOL
U0880,ST.CHARLES SEC SCHOOL NTUNGAMU
U0883,KAWEMPE PUBLIC SEC. SCHOOL
U0884,MWERERWE SEC. SCHOOL
U0885,"ST.ANDREW KAGGWA SS, WANDEGEYA"
U0887,"GREENVILLE HIGH SCHOOL, MUKONO"
U0892,"ST.JOSEPH MARY'S SS, MBIRIZI"
U0896,"ST.PETER'S SS, NAALYA"
U0897,NTINDA VIEW COLLEGE
U0902,KAKIRA HIGH SCHOOL
U0909,MBALE PROGRESSIVE SS
U0910,KANYUM COMPREHENSIVE SS
U0912,MUKURA SS
U0913,OLILA HIGH SCHOOL
U0919,MUYENGA HIGH SCHOOL
U0922,"WELLSTAR BRIGHT SS, KIREKA"
U0923,"ST KIZITO HIGH SCH., NAMUGONGO"
U0926,NKUMBA S.S.S.
U0933,"BADRU KAKUNGULU SS, KYAZANGA"
U0936,"CITIZEN'S HIGH SCH., MBARARA"
U0938,"VALLEY COLLEGE SS, BUSHENYI"
U0940,ST.CHARLES LWANGA KITABI VOC.S
U0942,FORT-PORTAL SS
U0943,KAGADI SS
U0947,ST.CLEMENT NKONI SS
U0950,"ST.JOSEPH'S SS, KKONGE"
U0952,"KENNEDY SS, KAMPALA"
U0953,"AIDAN COLLEGE, KAMPALA"
U0955,KASUBI S.S.
U0956,NAMIREMBE HILLSIDE S.S.
U0958,"ST.STEPHEN SS, MUKONO"
U0959,NAMIRYANGO SS
U0961,"FAIRLAND HIGH SCHOOL, MUKONO"
U0962,SEROMA CHRISTIAN HIGH SCHOOL
U0963,MUBANDA SS
U0964,BP.CYPRIAN H.SCHOOL KYABAKADDE
U0965,"TROPICAL HIGH SCH, KAMPALA"
U0966,"ST.THOMAS AQUINAS SS, KAWEMPE"
U0967,"BRIGHT FUTURE VOC SS, KAWEMPE"
U0970,NAZIGO TOWN SS
U0971,KAMULI GIRLS COLLEGE
U0973,KAMULI PROGRESSIVE COLLEGE
U0974,KAMULI COLLEGE
U0975,ST.GONZAGA KAGOMA
U0978,"ST.CHARLES LWANGA SS, KIBIRI"
U0989,MUKITALE DEV. FOUND. SS
U0991,KAPEKA SS
U0995,KAZO HILL COL. SCHOOL KAWEMPE
U1000,BRETHREN MEMO SCH. MATUGGA
U1004,PAIDHA SECONDARY SCHOOL
U1012,BUWAMA HIGH SCHOOL
U1014,"ARCHBISHOP KIWANUKA SS, KITOVU"
U1016,"ST. BERNARD'S SS, MANNYA"
U1017,KABALE TRINITY COLLEGE
U1024,UNIVERSAL GIRLS H.S. KAMPALA
U1025,KIKAAYA COLLEGE SCHOOL
U1028,KALIRO VOCATIONAL SS
U1033,NAJJA HIGH SCHOOL
U1034,"BAPTIST HIGH SCHOOL, KITEBI"
U1037,MISANVU SECONDARY SCHOOL
U1039,"ST. PAUL'S SS, MBULAMUTI"
U1042,"TESO INTERGRATED SS, NGORA"
U1048,RUKUNGIRI HIGH SCHOOL
U1050,ST. FRANCIS SEC SCHOOL NANSANA
U1055,"UPHILL COLLEGE, MBUYA"
U1056,"SALVATION COLLEGE, KAJJANSI"
U1058,"EAST HIGH SCHOOL, KAMPALA"
U1063,MBARARA ALLIED SCHOOL
U1066,"ST. CATHERINE SS, NABBINGO"
U1072,GULU CENTRAL HIGH SCHOOL
U1073,MASINDI ARMY SS
U1076,"HENRY KASULE M.C., KAKIRI"
U1077,MAKERERE MODERN S.S
U1080,NATETE MUSLIM HIGH SCHOOL
U1082,"PERE GRANDMAISON MEM, BUYEGE"
U1085,BP CYPRIAN KIHANGIRE SS LUZIRA
U1086,NANSANA S. S.
U1087,"ST.MARY'S HIGH SCHOOL, LUBAGA"
U1090,KYENJOJO INTERGRATED  S. S
U1092,RUKUNGIRI CENTRAL S. S.
U1100,MANAFA HIGH SCHOOL
U1103,KAWEMPE ROYAL COLLEGE
U1104,"ST. KIZITO SS,  BUGOLOBI"
U1107,"ST. LAWRENCE S.S, SSONDE"
U1109,KAWANDA S. S
U1112,KINONI INTERGRATED S.S
U1113,"WESTERN COLLEGE,MBARARA"
U1114,SENTAH COLLEGE
U1119,BOMBO ARMY S S
U1121,WOBULENZI HIGH SCHOOL
U1128,ST.LAWRENCE CITIZEN H S HORIZON
U1130,NAKANYONYI GIRLS SCHOOL
U1134,KALIRO COLLEGE SEC SCHOOL
U1137,"MOTHER KEVIN SS, JINJA"
U1139,IGANGA PARENT SS
U1140,MUKONO PARENTS HIGH SCHOOL
U1141,"MIGADDE COLLEGE, BOMBO"
U1144,BRILLIANT HIGH SCH. KAWEMPE
U1147,LUBIRI HIGH SCHOOL
U1148,"MANDELA S S, HOIMA"
U1152,MAKERERE HIGHWAY COLLEGE
U1153,OLD KAMPALA HIGH SCHOOL
U1154,"AMKA CLASSIC SCHOOL, KAMPALA"
U1155,"CRANE H S, KITINTALE"
U1157,"NSERESTER VOC. SS, MASAKA"
U1161,"SHARING YOUH CENTRE, NSAMBYA"
U1163,"AIRFORCE S.S, ENTEBBE"
U1170,WAGWA HIGH SCHOOL
U1172,NAKIFUMA HIGH SCHOOL
U1179,"ST.JOHN'S SS, MUKONO"
U1180,ISHAKA VOCATIONAL SS
U1188,"GREENSTARS HS, ENTEBBE"
U1194,MBALALA SS
U1198,"ST PETER'S COLLEGE, BUWEERA"
U1199,MATUUMU SS
U1204,BUSOGA SS
U1206,ST.THERESA SS  KATENDE
U1207,BETHANY HIGH SCH. KAMPALA
U1216,NAMBOOLE HIGH SCHOOL
U1217,STENA HILL SCH. KAMPALA
U1220,"PAL AND LISA SS, KAMPALA"
U1223,SEETA HIGH SCHOOL
U1224,ST MARY'S SS  KITENDE
U1225,NAMPUNGE COMMUNITY HIGH SCH.
U1227,"ST MARY'S SS, SANJE"
U1229,ANKOLE HILL SCHOOL
U1230,RWENTOBO HIGH SCHOOL
U1231,KAMPALA CITIZENS COLLEGE SCH.
U1233,BUYANJA GRAMMAR SCHOOL
U1234,MMANZE SS
U1235,MPIGI HIGH SCHOOL
U1242,BUSOLWE BRIGHT LIGHT COLLEGE
U1243,BUSIA FORWARD S S
U1244,BUSIA TRUST S S
U1249,KINAAWA HIGH SCHOOL
U1250,ZANA MIXED S S
U1256,NAMUNGOONA HIGH SCHOOL
U1257,NTANDA COLLEGE SCHOOL
U1258,EXCEL MILLENIUM H.S KAMPALA
U1262,"IRMA PFIFFER BWEYA H S, KISUBI"
U1265,"PREMIER SECONDARY SCHOOL, HOIMA"
U1266,"KINGSTONE H S, KAMPALA"
U1269,KAGADI PEOPLE`S SS
U1275,HOMETEK HIGH SCHOOL  SOROTI
U1285,KITGUM TOWN COLLEGE
U1286,KISUBI MAPEERA S S
U1287,KITGUM COMPREHENSIVE COLLEGE
U1288,MBOGO MIXED SEC SCHOOL
U1292,ST CATHERINE'S COL.NAKINYUGUZI
U1295,KYOTERA PARENTS SCH.
U1297,"ST. JUDE'S SECONDARY SCHOOL, KATENDE"
U1300,"HILLSIDE ACADEMY SS, ITOJO"
U1308,"LIGHT SECONDARY SCHOOL,SOROTI"
U1311,"MOUNT MASABA HS, MBALE"
U1318,NANSANA ST. JOSEPH SS
U1325,"CITY HILL COLLEGE, MUTUNDWE"
U1326,"BRIGHTWAY HILL SCH, BUKESA"
U1327,ITENDERO SS
U1328,"CENTENARY HIGH SCH, NYENDO"
U1330,"APAS SS, NSAMBYA"
U1336,KABOWA HIGH SCHOOL
U1337,43.9
U1339,YESU AKWAGALA HIGH SCHOOL
U1341,CENTRAL COLLEGE SCHOOL NATEETE
U1342,KABALE BRAINSTORM HIGH SCHOOL
U1343,AVE MARIA SECONDARY SCHOOL
U1347,MUBENDE LIGHT SECONDARY SCHOOL
U1348,MASOOLI SECONDARY SCHOOL
U1349,CITY VIEW SECONDARY SCHOOL
U1350,MIDLAND HIGH SCHOOL
U1352,TENDER TALENTS MAGNET SCHOOL
U1353,ENTEBBE COMPREHENSIVE H.S
U1354,MERRYLAND  HIGH SCHOOL
U1356,TURKISH LIGHT ACADEMY
U1357,WITS COLLEGE NAMULANDA
U1358,"CARDINAL NSUBUGA S.S, NYENGA"
U1361,"CENTRAL COLLEGE, KAMULI"
U1364,GREEN VALLEY HIGH SCHOOL
U1365,NILE HIGH SCHOOL
U1372,THE CRANES COLLEGE
U1373,JERESSAR HIGH SCHOOL
U1376,HALCYON HIGH SCHOOL
U1378,BUNGOKHO SECONDARY SCHOOL
U1379,LUGAZI MIXED SEC. SCH.
U1380,"ST.JOSEPH'S COLLEGE,NAMAGUNGA"
U1387,"KAKOOGE S.S, NAKASONGOLA"
